Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","22uF","R_0805_2012Metric",182.658000,-109.900000,0.000000,top
"C2","100nF","R_0805_2012Metric",161.830000,-132.760000,0.000000,top
"C3","100nF","R_0805_2012Metric",188.197500,-132.125000,180.000000,top
"C4","100nF","R_0805_2012Metric",163.481000,-88.183000,90.000000,top
"C5","100nF","R_0805_2012Metric",166.275000,-107.995000,180.000000,top
"C6","4.7uF","R_0805_2012Metric",171.433500,-136.875500,180.000000,top
"C7","100nF","R_0805_2012Metric",171.433500,-134.919000,180.000000,top
"C8","10uF","R_0805_2012Metric",156.115000,-123.387500,90.000000,top
"C9","10uF, 25V","R_0805_2012Metric",149.130000,-123.387500,270.000000,top
"C10","10uF, 25V","R_0805_2012Metric",154.210000,-123.387500,270.000000,top
"C11","100nF","R_0805_2012Metric",198.787000,-132.125000,180.000000,top
"D1","BAT54JFILM","SOT-323_SC-70",174.466500,-136.125500,90.000000,top
"D2","KPTD-3216SRC-PRV","LED_1206_3216Metric",147.225000,-128.315000,90.000000,top
"D3","BZX84C47LT3","D_SOT-23_ANK",147.860000,-109.138000,90.000000,top
"D4","BZX84C47LT3","D_SOT-23_ANK",147.860000,-105.328000,90.000000,top
"D5","KPTD-3216SRC-PRV","LED_1206_3216Metric",192.691000,-61.002000,270.000000,top
"D6","KPTD-3216SRC-PRV","LED_1206_3216Metric",153.956000,-60.621000,270.000000,top
"D7","KPTD-3216SRC-PRV","LED_1206_3216Metric",173.133000,-61.002000,270.000000,top
"D8","PESD5V0L 1BA","D_SOD-323_HandSoldering",173.355000,-131.826000,270.000000,top
"D9","PESD5V0L 1BA","D_SOD-323_HandSoldering",168.402000,-139.954000,90.000000,top
"D10","PESD5V0L 1BA","D_SOD-323_HandSoldering",180.975000,-139.954000,90.000000,top
"J3","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",174.657000,-141.269000,0.000000,top
"Q1","BC817","SOT-23",174.591000,-113.472000,90.000000,top
"Q2","BC817","SOT-23",170.913000,-113.472000,90.000000,top
"Q3","IRF7343PBF","SOIC-8_3.9x4.9mm_P1.27mm",156.115000,-106.725000,180.000000,top
"R1","10k","R_0805_2012Metric",172.752000,-117.393000,180.000000,top
"R2","10k","R_0805_2012Metric",172.752000,-119.552000,0.000000,top
"R3","10k","R_0805_2012Metric",167.037000,-110.662000,90.000000,top
"R4","10k","R_0805_2012Metric",182.658000,-107.995000,0.000000,top
"R5","0R","R_0805_2012Metric",176.752500,-132.760000,90.000000,top
"R6","0R","R_0805_2012Metric",176.752500,-136.145500,90.000000,top
"R7","22k","R_0805_2012Metric",178.657500,-132.760000,270.000000,top
"R8","47k","R_0805_2012Metric",178.657500,-136.145500,270.000000,top
"R9","2k2","R_0805_2012Metric",177.499500,-129.966000,180.000000,top
"R10","47k","R_0805_2012Metric",177.514500,-128.061000,180.000000,top
"R11","2k2","R_0805_2012Metric",147.225000,-123.387500,270.000000,top
"R14","0R","R_0805_2012Metric",140.430500,-128.696000,0.000000,top
"R15","0R","R_0805_2012Metric",140.430500,-130.601000,0.000000,top
"R16","0R","R_0805_2012Metric",198.406000,-102.153000,180.000000,top
"R17","0R","R_0805_2012Metric",198.406000,-104.693000,0.000000,top
"R18","0R","R_0805_2012Metric",199.930000,-113.915500,270.000000,top
"R19","220","R_0805_2012Metric",195.787500,-62.402000,180.000000,top
"R20","220","R_0805_2012Metric",157.004000,-61.957500,180.000000,top
"R21","220","R_0805_2012Metric",176.181000,-62.402000,180.000000,top
"R22","0R","R_0805_2012Metric",140.430500,-126.791000,180.000000,top
"R23","0R","R_0805_2012Metric",140.430500,-132.506000,180.000000,top
"R24","0R","R_0805_2012Metric",140.430500,-134.411000,0.000000,top
"R25","0R","R_0805_2012Metric",140.430500,-124.879100,0.000000,top
"R26","0R","R_0805_2012Metric",140.436600,-122.974100,180.000000,top
"REF**","Fiducial_1.5mm_Mask3mm","Fiducial_1.5mm_Mask3mm",210.566000,-145.542000,0.000000,top
"REF**","Fiducial_1.5mm_Mask3mm","Fiducial_1.5mm_Mask3mm",131.826000,-60.706000,0.000000,top
"REF**","Fiducial_1.5mm_Mask3mm","Fiducial_1.5mm_Mask3mm",210.566000,-60.452000,0.000000,top
"REF**","Fiducial_1.5mm_Mask3mm","Fiducial_1.5mm_Mask3mm",131.826000,-145.542000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",174.530000,-95.930000,0.000000,top
"U2","CP2102N-A01-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",168.942000,-130.601000,90.000000,top
"U3","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",150.400000,-116.885000,0.000000,top
